onset	duration	trial_type
20.5233333333333	0	4
22.5341666666667	0	24
24.5908333333333	0	106
24.9658333333333	0	126
26.6408333333333	0	106
27.0908333333333	0	126
29.725	0	106
30	0	126
32.35	0	106
32.475	0	126
34.5166666666667	0	106
34.8416666666667	0	126
37.5341666666667	0	6
39.5425	0	26
41.0508333333333	0	122
41.1675	0	110
44.2766666666667	0	122
46.0016666666667	0	110
46.7183333333333	0	122
49.0608333333333	0	110
49.0858333333333	0	122
51.9358333333333	0	110
54.5441666666667	0	6
56.545	0	26
57.67	0	110
58.22	0	122
60.4533333333333	0	110
60.9283333333333	0	122
62.7291666666667	0	110
63.9375	0	122
66.1541666666667	0	110
66.2541666666667	0	122
68.255	0	110
68.8633333333333	0	122
71.5466666666667	0	4
73.555	0	24
74.8975	0	106
75.8641666666667	0	126
77.3058333333333	0	106
77.9058333333333	0	126
79.565	0	106
80.3483333333333	0	126
82.5233333333333	0	106
82.7816666666667	0	126
85.2066666666667	0	106
85.6316666666667	0	126
88.5575	0	8
90.5575	0	28
91.6741666666667	0	114
92.7666666666667	0	118
94.9166666666667	0	114
95.1916666666667	0	118
97.4333333333333	0	114
97.9083333333333	0	118
99.9925	0	114
100.509166666667	0	118
102.3925	0	114
102.825833333333	0	118
105.559166666667	0	3
107.56	0	23
108.993333333333	0	125
109.71	0	105
111.601666666667	0	125
112.351666666667	0	105
114.360833333333	0	125
114.6525	0	105
116.6025	0	125
117.360833333333	0	105
118.719166666667	0	125
119.561666666667	0	105
122.561666666667	0	8
124.561666666667	0	28
125.970833333333	0	118
126.795833333333	0	114
129.154166666667	0	118
131.4375	0	114
133.413333333333	0	118
134.513333333333	0	114
136.205	0	118
136.996666666667	0	114
139.564166666667	0	6
141.564166666667	0	26
143.264166666667	0	122
143.964166666667	0	110
146.281666666667	0	122
146.515	0	110
148.331666666667	0	122
148.79	0	110
151.4825	0	122
153.4075	0	110
153.865833333333	0	122
156.565833333333	0	2
158.566666666667	0	22
159.866666666667	0	130
160.466666666667	0	102
162.541666666667	0	130
162.841666666667	0	102
164.850833333333	0	130
165.950833333333	0	102
167.5675	0	130
168.059166666667	0	102
169.76	0	130
170.268333333333	0	102
173.576666666667	0	6
175.585	0	26
177.110833333333	0	122
177.6025	0	110
179.169166666667	0	122
179.960833333333	0	110
181.969166666667	0	122
182.960833333333	0	110
184.186666666667	0	122
185.186666666667	0	110
186.386666666667	0	122
187.37	0	110
190.5875	0	8
192.5875	0	28
193.945833333333	0	118
194.020833333333	0	114
196.563333333333	0	118
199.005	0	114
199.905	0	118
201.363333333333	0	114
202.080833333333	0	118
204.7475	0	114
207.589166666667	0	6
209.59	0	26
210.665	0	122
211.815	0	110
214.54	0	122
216.915833333333	0	110
219.149166666667	0	122
219.5075	0	110
221.358333333333	0	122
222.075	0	110
224.591666666667	0	3
226.6	0	23
227.9675	0	125
231.3175	0	105
233.6175	0	125
233.725833333333	0	105
236.41	0	125
236.493333333333	0	105
238.851666666667	0	125
238.885	0	105
241.601666666667	0	7
243.6025	0	27
244.6525	0	113
245.169166666667	0	117
247.353333333333	0	113
248.303333333333	0	117
249.395	0	113
250.953333333333	0	117
251.811666666667	0	113
253.054166666667	0	117
254.729166666667	0	113
256.0375	0	117
258.604166666667	0	1
260.605	0	21
262.613333333333	0	129
263.03	0	101
264.705	0	129
265.063333333333	0	101
267.755833333333	0	129
270.105833333333	0	101
270.580833333333	0	129
272.280833333333	0	101
273.04	0	129
275.606666666667	0	2
277.606666666667	0	22
278.656666666667	0	102
279.3825	0	130
281.049166666667	0	102
281.465833333333	0	130
283.815833333333	0	102
284.815833333333	0	130
286.758333333333	0	102
287.033333333333	0	130
289.75	0	102
292.608333333333	0	8
294.609166666667	0	28
295.734166666667	0	118
296.900833333333	0	114
297.775833333333	0	118
298.9425	0	114
301.585	0	118
304.435	0	114
306.135833333333	0	118
306.685833333333	0	114
309.610833333333	0	7
311.619166666667	0	27
312.67	0	113
312.761666666667	0	117
316.028333333333	0	113
318.629166666667	0	117
318.954166666667	0	113
321.0625	0	117
323.820833333333	0	113
323.8875	0	117
326.621666666667	0	2
328.621666666667	0	22
330.621666666667	0	102
330.888333333333	0	130
332.8725	0	102
333.130833333333	0	130
335.4975	0	102
335.8475	0	130
338.131666666667	0	102
340.248333333333	0	130
340.74	0	102
343.623333333333	0	3
345.624166666667	0	23
347.7075	0	125
348.0075	0	105
350.283333333333	0	125
350.566666666667	0	105
352.658333333333	0	125
354.858333333333	0	105
355.4	0	125
630.481666666667	0	7
632.479166666667	0	27
634.3375	0	117
634.5025	0	113
637.028333333333	0	117
637.211666666667	0	113
639.703333333333	0	117
641.861666666667	0	113
642.320833333333	0	117
644.020833333333	0	113
644.879166666667	0	117
647.48	0	8
649.48	0	28
650.93	0	118
651.63	0	114
653.396666666667	0	118
654.189166666667	0	114
656.430833333333	0	118
656.6975	0	114
658.505833333333	0	118
658.855833333333	0	114
660.856666666667	0	118
661.906666666667	0	114
664.484166666667	0	4
666.49	0	24
668.065833333333	0	126
668.3825	0	106
671.215833333333	0	126
671.265833333333	0	106
673.816666666667	0	126
676.133333333333	0	106
676.441666666667	0	126
678.783333333333	0	106
678.9	0	126
681.494166666667	0	3
683.4925	0	23
684.709166666667	0	105
684.725833333333	0	125
687.435	0	105
690.243333333333	0	125
690.735	0	105
692.376666666667	0	125
693.294166666667	0	105
694.4775	0	125
695.794166666667	0	105
698.495833333333	0	6
700.498333333333	0	26
701.545	0	122
702.136666666667	0	110
704.503333333333	0	122
706.654166666667	0	110
706.920833333333	0	122
709.454166666667	0	110
710.3125	0	122
712.621666666667	0	110
715.499166666667	0	3
717.496666666667	0	23
718.846666666667	0	105
718.863333333333	0	125
722.255833333333	0	105
724.3225	0	125
724.7475	0	105
726.623333333333	0	125
726.881666666667	0	105
729.098333333333	0	125
732.500833333333	0	7
734.499166666667	0	27
735.5325	0	113
735.599166666667	0	117
738.475	0	113
738.933333333333	0	117
741.283333333333	0	113
741.558333333333	0	117
743.426666666667	0	113
743.841666666667	0	117
746.434166666667	0	113
746.7175	0	117
749.504166666667	0	7
751.509166666667	0	27
752.543333333333	0	117
753.17	0	113
755.351666666667	0	117
756.335	0	113
758.6025	0	117
758.944166666667	0	113
761.094166666667	0	117
763.710833333333	0	113
766.513333333333	0	2
768.511666666667	0	22
770.636666666667	0	102
770.836666666667	0	130
772.670833333333	0	102
773.0625	0	130
775.1375	0	102
775.7375	0	130
777.988333333333	0	102
778.463333333333	0	130
780.396666666667	0	102
780.813333333333	0	130
783.515833333333	0	7
785.514166666667	0	27
786.6475	0	113
787.139166666667	0	117
790.080833333333	0	113
792.831666666667	0	117
795.281666666667	0	113
797.090833333333	0	117
797.7825	0	113
800.518333333333	0	4
802.515833333333	0	24
804.058333333333	0	126
804.266666666667	0	106
807.166666666667	0	126
809.858333333333	0	106
811.884166666667	0	126
811.934166666667	0	106
813.8925	0	126
814.600833333333	0	106
817.52	0	1
819.518333333333	0	21
820.793333333333	0	101
821.701666666667	0	129
824.244166666667	0	101
826.444166666667	0	129
826.769166666667	0	101
829.245	0	129
829.260833333333	0	101
831.411666666667	0	129
831.986666666667	0	101
834.521666666667	0	3
836.52	0	23
838.845833333333	0	105
838.920833333333	0	125
840.895833333333	0	105
841.104166666667	0	125
843.363333333333	0	105
843.821666666667	0	125
845.938333333333	0	105
845.98	0	125
848.23	0	105
848.939166666667	0	125
851.533333333333	0	1
853.530833333333	0	21
854.830833333333	0	129
855.473333333333	0	101
858.206666666667	0	129
860.348333333333	0	101
860.981666666667	0	129
863.074166666667	0	101
865.0325	0	129
865.599166666667	0	101
868.535	0	5
870.533333333333	0	25
871.583333333333	0	109
872.716666666667	0	121
875.159166666667	0	109
877.750833333333	0	121
877.784166666667	0	109
880.000833333333	0	121
880.175833333333	0	109
882.326666666667	0	121
882.51	0	109
885.538333333333	0	4
887.535	0	24
889.594166666667	0	126
889.7025	0	106
892.035833333333	0	126
894.92	0	106
896.595	0	126
897.436666666667	0	106
899.878333333333	0	126
902.539166666667	0	7
904.5375	0	27
906.0875	0	117
906.5125	0	113
909.23	0	117
909.396666666667	0	113
911.488333333333	0	117
911.515	0	113
914.1975	0	117
916.7725	0	113
919.541666666667	0	6
921.54	0	26
923.365	0	110
923.556666666667	0	122
926.373333333333	0	110
928.3325	0	122
928.615833333333	0	110
930.890833333333	0	122
931.326666666667	0	110
933.791666666667	0	122
936.5525	0	7
938.558333333333	0	27
939.741666666667	0	113
940.3925	0	117
941.834166666667	0	113
943.434166666667	0	117
944.459166666667	0	113
945.800833333333	0	117
947.551666666667	0	113
948.51	0	117
950.593333333333	0	113
950.61	0	117
953.5625	0	3
955.560833333333	0	23
957.460833333333	0	125
957.860833333333	0	105
959.886666666667	0	125
960.336666666667	0	105
962.953333333333	0	125
963.003333333333	0	105
964.97	0	125
965.161666666667	0	105
967.6375	0	125
987.4675	0	2
989.465833333333	0	22
990.8	0	102
991.598333333333	0	130
994.265833333333	0	102
996.640833333333	0	130
999.041666666667	0	102
999.408333333333	0	130
1001.09166666667	0	102
1001.61666666667	0	130
1004.4675	0	1
1006.4675	0	21
1007.6925	0	129
1008.43416666667	0	101
1010.5425	0	129
1010.87583333333	0	101
1013.485	0	129
1015.60166666667	0	101
1015.86833333333	0	129
1017.885	0	101
1018.48583333333	0	129
1021.47083333333	0	4
1023.47333333333	0	24
1025.26166666667	0	126
1025.63666666667	0	106
1027.68666666667	0	126
1028.28666666667	0	106
1029.88666666667	0	126
1030.74583333333	0	106
1032.52083333333	0	126
1032.7875	0	106
1034.7125	0	126
1035.87916666667	0	106
1038.47166666667	0	6
1040.48	0	26
1042.71333333333	0	110
1042.81333333333	0	122
1044.7475	0	110
1045.3225	0	122
1046.80583333333	0	110
1047.36416666667	0	122
1049.6225	0	110
1050.32333333333	0	122
1052.14	0	110
1052.515	0	122
1055.48416666667	0	6
1057.48166666667	0	26
1058.72416666667	0	122
1058.9575	0	110
1060.8075	0	122
1061.1825	0	110
1063.28333333333	0	122
1064.86666666667	0	110
1065.875	0	122
1067.39166666667	0	110
1068.88333333333	0	122
1069.65083333333	0	110
1072.48666666667	0	5
1074.48416666667	0	25
1075.78416666667	0	121
1076.46	0	109
1078.36833333333	0	121
1079.06833333333	0	109
1081.24416666667	0	121
1081.51833333333	0	109
1083.33583333333	0	121
1083.89416666667	0	109
1085.96083333333	0	121
1086.26083333333	0	109
1089.4875	0	3
1091.48666666667	0	23
1092.86166666667	0	105
1092.92833333333	0	125
1094.97	0	105
1095.89583333333	0	125
1098.19583333333	0	105
